Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Wollongong - West",15565,297,10,0,831,16707,
"Bulahdelah - Stroud",4165,252,4,5,304,4725,
"Forster",12441,807,13,13,989,14270,
"Forster-Tuncurry Region",5330,284,8,7,462,6085,
"Tuncurry",5487,230,9,12,450,6182,
"Kempsey",11024,2367,23,72,1278,14756,
"Kempsey Region",7588,609,0,15,814,9024,
"Macksville - Scotts Head",4139,296,13,15,328,4792,
"Nambucca Heads",5673,597,10,11,453,6752,
"Nambucca Heads Region",6553,505,3,8,588,7665,
"South West Rocks",4564,263,3,0,305,5133,
"Lord Howe Island",335,4,0,0,40,381,
"Laurieton - Bonny Hills",15281,509,8,5,936,16743,
"Port Macquarie - East",25713,903,7,9,1420,28050,
"Port Macquarie - West",15299,836,13,11,1170,17326,
"Port Macquarie Region",4576,189,7,0,520,5293,
"Wauchope",9790,667,4,4,687,11150,
"Gloucester",4299,370,4,0,353,5033,
"Old Bar - Manning Point - Red Head",9515,413,7,12,584,10531,
"Taree",17075,1969,39,37,1360,20478,
"Taree Region",10888,511,17,10,1010,12444,
"Wingham",4737,304,6,4,323,5374,
"Albury - East",14044,277,4,6,715,15047,
"Albury - North",8736,296,6,9,798,9845,
"Albury - South",9203,242,4,8,848,10302,
"Albury Region",10542,313,5,8,735,11611,
"Lavington",12891,540,13,5,1023,14473,
"Hay",2445,173,0,0,354,2970,
"Wentworth - Buronga",4791,611,3,12,545,5965,
"Wentworth-Balranald Region",2945,227,3,8,423,3611,
"Corowa",4998,90,0,0,385,5482,
"Corowa Region",6039,110,8,3,578,6742,
"Deniliquin",6399,319,13,4,700,7434,
"Deniliquin Region",5927,226,4,0,601,6751,
"Moama",5324,151,0,0,369,5845,
"Tocumwal - Finley - Jerilderie",8506,221,14,3,984,9728,
"Armidale",20011,1638,26,20,1648,23348,
"Armidale Region - North",3908,239,7,8,332,4490,
"Armidale Region - South",5195,396,9,6,417,6023,
"Walcha",2710,181,8,5,329,3226,
"Glen Innes",7477,501,6,22,826,8832,
"Inverell",9785,1057,12,29,772,11660,
"Inverell Region - East",4195,498,5,5,545,5235,
"Inverell Region - West",5058,312,14,5,594,5987,
"Tenterfield",5508,368,10,14,720,6624,
"Moree",5344,1930,11,28,891,8203,
"Moree Region",3915,866,8,20,650,5451,
"Narrabri",5573,831,16,32,705,7170,
"Narrabri Region",3645,569,4,6,571,4797,
"Gunnedah",7283,1235,15,15,635,9191,
"Gunnedah Region",3341,406,14,6,367,4133,
"Quirindi",6041,927,21,13,688,7684,
"Tamworth - East",16955,1991,32,53,1339,20372,
"Tamworth - North",12759,1248,18,22,1028,15077,
"Tamworth - West",3730,1230,25,27,549,5563,
"Tamworth Region",15665,1314,44,22,1433,18472,
"Belmont - Bennetts Green",16547,573,6,3,596,17724,
"Belmont South - Blacksmiths",5106,274,3,9,216,5604,
"Charlestown - Dudley",22230,781,12,11,928,23965,
"Glendale - Cardiff - Hillsborough",21686,905,9,16,778,23387,
"Mount Hutton - Windale",7747,661,3,11,486,8901,
"Redhead",3254,91,6,4,166,3517,
"Swansea - Caves Beach",10656,409,7,4,466,11546,
"Valentine - Eleebana",11489,157,0,3,347,11994,
"Warners Bay - Boolaroo",12517,337,7,8,504,13371,
"Bolton Point - Teralba",7601,520,9,18,379,8523,
"Bonnells Bay - Silverwater",8031,357,13,4,308,8719,
"Edgeworth - Cameron Park",12989,733,14,11,450,14200,
"Morisset - Cooranbong",13677,508,21,15,739,14963,
"Toronto - Awaba",12196,681,17,21,513,13425,
"Wangi Wangi - Rathmines",8246,338,12,8,287,8897,
"West Wallsend - Barnsley - Killingworth",5862,347,11,8,255,6481,
"Adamstown - Kotara",14825,367,0,6,397,15600,
"Beresfield - Hexham",7357,542,6,9,442,8358,
"Hamilton - Broadmeadow",10868,377,15,18,571,11847,
"Lambton - New Lambton",15602,412,12,9,487,16526,
"Maryland - Fletcher - Minmi",12533,651,9,9,368,13570,
