Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2 (UR)",
"Success - Hammond Park",13956,151,5,8,792,14909,
"Yangebup",6883,124,0,4,464,7476,
"Beeliar - Wattleup",7627,141,0,0,458,8234,
"Jandakot",2443,23,0,3,122,2596,
"East Fremantle",6927,34,0,0,408,7375,
"Fremantle",13041,186,9,8,1603,14844,
"Fremantle - South",13194,244,4,0,926,14370,
"O'Connor (WA)",10,0,0,0,4,17,
"Bertram - Wellard (West)",13053,273,3,8,683,14015,
"Calista",6764,283,3,0,613,7670,
"Hope Valley - Postans",50,4,0,0,5,66,
"Kwinana Industrial",25,0,0,0,3,26,
"Parmelia - Orelia",9530,427,0,5,998,10963,
"Casuarina - Wandi",5495,371,3,12,298,6185,
"Applecross - Ardross",10516,31,0,0,490,11037,
"Bateman",3561,11,0,0,143,3717,
"Bicton - Palmyra",12857,109,3,0,711,13681,
"Booragoon",13670,99,0,0,680,14448,
"Bull Creek",7501,27,0,0,214,7743,
"Leeming",10396,36,0,0,294,10729,
"Melville",15505,72,0,0,703,16278,
"Murdoch - Kardinya",11576,87,7,4,579,12255,
"Willagee",4379,196,3,5,283,4872,
"Winthrop",5748,0,0,0,162,5908,
"Baldivis",30016,464,12,7,2531,33029,
"Cooloongup",7671,321,8,8,579,8589,
"Port Kennedy",12535,349,10,7,876,13779,
"Rockingham",13613,267,5,5,1539,15434,
"Rockingham Lakes",0,0,0,0,13,13,
"Safety Bay - Shoalwater",10685,149,8,4,656,11509,
"Singleton - Golden Bay - Secret Harbour",18286,271,0,0,1049,19609,
"Waikiki",11433,290,7,10,705,12452,
"Warnbro",9537,329,4,3,830,10699,
"Albany",13003,386,8,0,852,14251,
"Albany Region",3131,51,0,0,260,3439,
"Bayonet Head - Lower King",4440,138,0,6,247,4831,
"Denmark",5211,74,0,0,559,5850,
"Gnowangerup",2401,138,7,4,338,2884,
"Katanning",3674,302,14,0,572,4561,
"Kojonup",3520,248,0,0,443,4214,
"Little Grove - Elleker",3222,240,0,8,157,3630,
"McKail - Willyung",9422,363,12,3,632,10431,
"Plantagenet",4503,155,0,0,421,5078,
"Stirling Range National Park",0,0,0,0,0,0,
"Chittering",4876,120,0,5,476,5474,
"Cunderdin",3454,236,0,0,406,4102,
"Dowerin",3525,166,0,0,294,3985,
"Gingin - Dandaragan",7493,172,3,0,760,8432,
"Merredin",4434,276,0,0,374,5088,
"Moora",3961,362,0,5,452,4774,
"Mukinbudin",2717,113,0,0,355,3188,
