Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SA2 (UR) by INGP Indigenous Status"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INGP Indigenous Status","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Samford Valley",11038,84,10,3,617,11757,
"Dakabin - Kallangur",21855,705,18,53,1302,23929,
"Murrumba Downs - Griffin",16275,346,20,21,859,17519,
"North Lakes - Mango Hill",28096,545,25,31,1407,30104,
"Bray Park",9429,345,13,17,447,10246,
"Lawnton",5473,197,12,29,312,6016,
"Petrie",8068,223,11,0,389,8689,
"Strathpine - Brendale",11333,344,25,15,555,12266,
"Aurukun",94,1058,23,66,29,1275,
"Cape York",2901,3111,129,637,732,7516,
"Croydon - Etheridge",840,80,4,5,164,1090,
"Kowanyama - Pormpuraaw",190,1437,23,37,23,1698,
"Northern Peninsula",299,148,899,1390,66,2796,
"Tablelands",4430,686,123,114,625,5981,
"Torres",857,88,1799,592,275,3612,
"Torres Strait Islands",291,47,3588,505,80,4517,
"Weipa",2734,259,217,288,406,3903,
"Carpentaria",1321,3153,31,43,276,4828,
"Mount Isa",13201,2843,78,119,2100,18342,
"Mount Isa Region",2082,741,29,27,476,3357,
"Northern Highlands",2662,172,0,13,270,3124,
"Barcaldine - Blackall",4176,249,13,10,317,4765,
"Charleville",3480,515,20,8,287,4309,
"Far Central West",1595,257,15,19,223,2117,
"Far South West",1986,614,4,8,191,2803,
"Longreach",3135,163,20,8,333,3663,
"Buderim - North",15664,176,11,3,759,16616,
"Buderim - South",15364,187,11,7,763,16322,
"Mountain Creek",10551,173,19,11,500,11255,
"Sippy Downs",9509,207,8,5,569,10298,
"Aroona - Currimundi",9513,216,15,10,320,10072,
"Buddina - Minyama",6036,84,7,0,299,6428,
"Caloundra - Kings Beach",5947,106,10,0,640,6704,
"Caloundra - West",18943,407,16,9,900,20278,
"Golden Beach - Pelican Waters",11064,204,3,11,574,11851,
"Moffat Beach - Battery Hill",7364,132,3,9,329,7835,
"Parrearra - Warana",8809,176,3,3,513,9505,
"Wurtulla - Birtinya",7196,135,17,11,486,7838,
"Coolum Beach",13382,238,30,19,915,14590,
"Marcoola - Mudjimba",10101,180,17,22,552,10867,
"Maroochydore - Kuluin",17350,333,19,12,1444,19163,
"Mooloolaba - Alexandra Headland",10352,145,3,4,1182,11692,
"Noosa Heads",4175,30,0,0,289,4489,
