Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Applecross - Ardross",9958,18,0,0,652,10625,
"Bateman",3610,8,0,0,125,3740,
"Bicton - Palmyra",12264,78,0,0,617,12957,
"Booragoon",13190,60,4,0,621,13870,
"Bull Creek",7328,17,3,0,195,7543,
"Leeming",10823,35,0,0,229,11092,
"Melville",14847,58,0,0,549,15454,
"Murdoch - Kardinya",11652,51,6,8,400,12113,
"Willagee",4313,221,0,3,229,4766,
"Winthrop",6076,3,0,0,119,6203,
"Baldivis",15770,175,3,5,648,16594,
"Cooloongup",7983,224,0,5,411,8631,
"Port Kennedy",12824,208,9,4,1054,14106,
"Rockingham",13577,215,0,0,1033,14826,
"Rockingham Lakes",0,13,0,0,0,13,
"Safety Bay - Shoalwater",10552,138,3,6,538,11238,
"Singleton - Golden Bay - Secret Harbour",14803,172,10,0,633,15613,
"Waikiki",11031,220,9,0,724,11982,
"Warnbro",10162,308,3,6,626,11102,
"Esperance",10248,462,10,0,719,11433,
"Esperance Region",3817,125,6,0,224,4172,
"Carnarvon",3724,1080,10,16,521,5347,
"Exmouth",3356,262,4,3,310,3942,
"Boulder",5976,740,5,19,992,7732,
"Kalgoorlie",11451,885,25,21,1561,13947,
"Kalgoorlie - North",7839,362,23,3,930,9159,
"Kalgoorlie Airport",0,0,0,0,0,0,
"Kambalda - Coolgardie - Norseman",4194,564,3,15,633,5405,
"Leinster - Leonora",2828,2033,6,13,684,5565,
"Trafalgar (WA)",0,0,0,0,0,0,
"Broome",8648,2674,51,152,1248,12765,
"Derby - West Kimberley",3640,3941,12,88,733,8415,
"Halls Creek",704,2769,8,20,69,3564,
"Kununurra",4405,2656,24,34,683,7806,
"Roebuck",668,1466,0,26,75,2238,
"Geraldton",10462,1165,18,11,690,12340,
"Geraldton - East",5971,1325,4,21,420,7746,
"Geraldton - North",5784,464,3,5,231,6497,
"Geraldton - South",8399,364,13,4,396,9170,
"Irwin",3301,80,0,0,186,3568,
"Meekatharra",2344,1164,11,11,548,4077,
"Morawa",3977,249,3,0,272,4503,
"Northampton - Mullewa - Greenough",5101,376,5,0,290,5768,
"Ashburton (WA)",7651,865,37,31,1412,10001,
"East Pilbara",4593,1639,12,20,1485,7744,
"Karratha",12528,770,55,40,3079,16474,
"Newman",3912,495,30,21,1013,5479,
"Port Hedland",3251,245,17,14,867,4392,
"Roebourne",3844,1134,11,10,1420,6425,
"South Hedland",5847,1608,81,65,1770,9377,
"Albany",12831,350,8,5,483,13682,
"Albany Region",2883,24,0,0,90,2995,
"Bayonet Head - Lower King",3956,135,0,0,167,4259,
"Denmark",4895,49,0,3,245,5194,
"Gnowangerup",2574,144,0,0,112,2830,
"Katanning",4028,381,3,7,182,4598,
"Kojonup",3762,273,0,3,154,4193,
"Little Grove - Elleker",3025,146,0,3,109,3275,
"McKail - Willyung",8602,408,3,0,419,9442,
"Plantagenet",4489,150,0,0,235,4882,
"Stirling Range National Park",0,0,0,0,0,0,
"Chittering",4145,50,4,4,223,4427,
"Cunderdin",3438,347,0,0,149,3930,
"Dowerin",3656,216,0,0,183,4057,
"Gingin - Dandaragan",7028,158,0,10,677,7871,
"Merredin",4596,245,3,0,222,5070,
"Moora",4068,371,4,3,190,4640,
"Mukinbudin",3106,91,7,0,262,3470,
"Northam",9146,577,11,0,822,10557,
"Toodyay",3957,107,0,0,320,4387,
"York - Beverley",4511,198,0,0,247,4958,
"Brookton",3180,248,0,3,162,3603,
"Kulin",4224,155,7,6,192,4584,
"Murray",2434,90,3,0,405,2926,
"Narrogin",4146,394,5,4,182,4730,
"Wagin",4622,94,3,0,147,4864,
"Migratory - Offshore - Shipping (WA)",339,5,0,0,66,417,
"No Usual Address (WA)",6100,424,12,15,741,7299,
"Total",2038783,67063,1309,1296,130719,2239171,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Commonwealth of Australia, 2018. This ABS data is covered by Creative Commons Attribution 2.5 Australia licence."
