Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"Main Statistical Area Structure (Main ASGS) (UR) by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"Main Statistical Area Structure (Main ASGS) (UR)",
"Gunnedah",7172,1119,5,11,416,8731,
"Gunnedah Region",3995,271,6,4,239,4521,
"Quirindi",6353,781,23,12,305,7477,
"Tamworth - East",17430,1513,23,29,905,19902,
"Tamworth - North",11782,872,29,11,823,13513,
"Tamworth - West",3838,1207,22,15,242,5322,
"Tamworth Region",15755,938,32,33,583,17342,
"Belmont - Bennetts Green",16146,381,6,4,608,17143,
"Belmont South - Blacksmiths",5234,178,0,7,200,5618,
"Charlestown - Dudley",22248,545,7,3,754,23554,
"Glendale - Cardiff - Hillsborough",21480,707,10,8,759,22966,
"Mount Hutton - Windale",7680,523,25,14,425,8660,
"Redhead",3357,41,3,0,56,3460,
"Swansea - Caves Beach",9895,290,8,4,532,10730,
"Valentine - Eleebana",11593,84,0,0,291,11967,
"Warners Bay - Boolaroo",12159,234,9,4,358,12761,
"Bolton Point - Teralba",7998,386,6,15,291,8699,
"Bonnells Bay - Silverwater",7462,219,9,3,245,7935,
"Edgeworth - Cameron Park",10677,472,6,0,271,11425,
"Morisset - Cooranbong",13074,367,14,3,383,13842,
"Toronto - Awaba",12239,508,12,16,490,13268,
"Wangi Wangi - Rathmines",8268,199,4,3,228,8708,
"West Wallsend - Barnsley - Killingworth",5685,228,7,3,217,6135,
"Adamstown - Kotara",14318,248,3,4,470,15043,
"Beresfield - Hexham",7562,414,15,16,362,8361,
"Hamilton - Broadmeadow",10914,301,9,5,510,11739,
"Lambton - New Lambton",15421,330,24,3,639,16406,
"Maryland - Fletcher - Minmi",10515,377,18,13,285,11213,
"Mayfield - Warabrook",13413,377,9,6,840,14643,
"Merewether - The Junction",12857,154,3,3,389,13399,
"Newcastle - Cooks Hill",9291,184,5,3,645,10136,
"Newcastle Port - Kooragang",16,0,0,0,0,16,
"Shortland - Jesmond",9298,263,17,3,507,10081,
"Stockton - Fullerton Cove",5530,198,3,0,391,6120,
"Wallsend - Elermore Vale",17706,601,7,6,713,19038,
"Waratah - North Lambton",10936,360,9,4,553,11860,
"Wickham - Carrington - Tighes Hill",6939,239,10,8,474,7667,
"Ballina",14884,582,16,22,662,16167,
"Ballina Region",14689,492,10,12,494,15694,
"Bangalow",5035,49,3,3,232,5319,
"Brunswick Heads - Ocean Shores",7240,157,10,26,302,7734,
"Byron Bay",7853,100,26,4,670,8654,
"Evans Head",4595,179,4,6,207,4989,
"Lennox Head - Skennars Head",7021,90,3,0,228,7341,
"Mullumbimby",6746,122,5,4,453,7334,
"Casino",10401,931,13,10,473,11834,
"Casino Region",6149,376,20,6,336,6895,
"Goonellabah",11542,749,23,35,370,12716,
"Kyogle",6774,386,4,7,341,7508,
"Lismore",14189,689,21,27,647,15565,
"Lismore Region",13730,358,7,10,661,14769,
"Kingscliff - Fingal Head",9992,348,51,52,485,10927,
"Murwillumbah",7648,178,23,11,373,8239,
"Murwillumbah Region",8768,196,23,8,554,9548,
"Pottsville",11250,348,32,37,475,12138,
"Tweed Heads",16586,432,47,64,1069,18193,
"Tweed Heads - South",23998,849,89,140,980,26051,
"Griffith (NSW)",15816,816,13,4,1253,17901,
"Griffith Region",11419,670,13,6,578,12684,
"Leeton",8771,535,13,0,573,9889,
"Narrandera",5120,605,7,3,399,6123,
"Tumbarumba",3151,70,4,7,153,3388,
"Tumut",5689,308,8,13,271,6295,
"Tumut Region",4331,157,3,4,154,4644,
"Cootamundra",6809,280,5,6,341,7445,
"Gundagai",3364,81,0,0,128,3575,
"Junee",5161,384,11,3,265,5821,
"Temora",5991,95,13,0,224,6326,
"Wagga Wagga - East",14966,434,10,10,493,15910,
"Wagga Wagga - North",3298,60,0,0,131,3490,
"Wagga Wagga - South",19086,1167,19,7,587,20870,
"Wagga Wagga - West",10450,788,15,5,518,11773,
"Wagga Wagga Region",13080,377,8,9,522,13989,
"Berry - Kangaroo Valley",7819,121,0,0,343,8285,
"Callala Bay - Currarong",3186,124,0,0,208,3527,
"Culburra Beach",4319,276,0,0,195,4790,
"Ettrema - Sassafras - Budawang",19,0,0,0,12,39,
"Huskisson - Vincentia",3388,115,9,0,315,3821,
"North Nowra - Bomaderry",13871,767,35,7,564,15236,
"Nowra",15106,1510,18,12,1451,18105,
"St Georges Basin - Erowal Bay",11348,654,13,6,584,12610,
"Sussex Inlet - Berrara",3905,105,6,4,109,4132,
"Tomerong - Wandandian - Woollamia",3018,112,0,0,164,3295,
