Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Mitcham (Vic.)",14317,29,0,0,466,14812,
"Nunawading",10489,34,0,0,433,10946,
"Vermont",9667,13,3,0,223,9903,
"Vermont South",11075,10,0,7,323,11417,
"Belgrave - Selby",9622,23,3,0,415,10062,
"Chirnside Park",8786,39,0,0,294,9123,
"Healesville - Yarra Glen",12033,282,6,3,519,12843,
"Kilsyth",8184,48,5,0,302,8531,
"Lilydale - Coldstream",17406,71,0,4,500,17988,
"Monbulk - Silvan",5334,22,0,0,184,5542,
"Montrose",6406,37,3,0,291,6732,
"Mooroolbark",20037,101,9,3,538,20691,
"Mount Dandenong - Olinda",9285,27,3,0,336,9657,
"Mount Evelyn",9064,49,8,0,252,9376,
"Upwey - Tecoma",9332,30,0,0,419,9778,
"Wandin - Seville",7122,58,3,0,228,7408,
"Yarra Valley",14980,113,4,0,885,15985,
"Beaconsfield - Officer",7760,23,0,0,307,8096,
"Bunyip - Garfield",7929,23,0,0,244,8203,
"Emerald - Cockatoo",16672,96,0,4,738,17510,
"Koo Wee Rup",6262,26,4,0,237,6530,
"Pakenham - North",12123,94,4,4,422,12647,
"Pakenham - South",20182,141,3,6,1021,21348,
"Berwick - North",21280,66,7,0,895,22252,
"Berwick - South",22226,64,6,3,686,22988,
"Doveton",9337,150,15,0,752,10256,
"Endeavour Hills",24520,70,8,8,893,25504,
"Hallam",9746,38,0,0,376,10161,
"Narre Warren",24821,111,3,7,940,25884,
"Narre Warren North",6743,20,3,0,224,6983,
"Cranbourne",17476,171,20,0,950,18623,
"Cranbourne East",7802,36,0,3,367,8210,
"Cranbourne North",13827,107,10,4,620,14573,
"Cranbourne South",6497,24,0,0,192,6717,
"Cranbourne West",8304,51,10,5,366,8744,
"Hampton Park - Lynbrook",22500,162,28,0,1081,23768,
"Lynbrook - Lyndhurst",11279,23,7,0,355,11666,
"Narre Warren South",27731,100,9,0,754,28593,
"Pearcedale - Tooradin",7237,42,0,0,193,7479,
"Clarinda - Oakleigh South",11135,11,0,0,518,11663,
"Clayton South",10901,27,0,3,690,11625,
"Dandenong",23998,88,25,0,1813,25923,
"Dandenong North",20530,130,3,3,1247,21911,
"Dingley Village",9924,12,4,0,232,10169,
"Keysborough",19090,34,5,3,916,20042,
"Noble Park",26774,92,16,6,1492,28376,
"Noble Park North",7029,14,5,0,343,7391,
"Springvale",18754,25,20,0,974,19772,
"Springvale South",11577,28,4,0,571,12184,
"Ashwood - Chadstone",15416,37,3,0,796,16254,
"Clayton",16629,33,0,0,1043,17708,
"Glen Waverley - East",20027,34,3,0,658,20722,
"Glen Waverley - West",17680,24,0,0,780,18485,
"Mount Waverley - North",14488,24,3,0,394,14916,
"Mount Waverley - South",16709,29,3,0,426,17160,
"Mulgrave",17083,46,0,0,522,17649,
"Oakleigh - Huntingdale",19306,62,4,3,862,20235,
"Wheelers Hill",18543,16,6,3,533,19105,
"Ardeer - Albion",6532,40,0,5,585,7159,
"Cairnlea",8354,9,0,0,472,8840,
"Deer Park - Derrimut",20459,91,8,9,1633,22194,
"Delahey",7903,28,7,3,507,8442,
"Keilor Downs",12786,55,9,5,621,13469,
"Kings Park (Vic.)",12506,65,21,4,933,13530,
"St Albans - North",17369,48,3,7,1462,18885,
"St Albans - South",14763,50,10,0,1382,16209,
"Sunshine",8095,46,8,5,687,8838,
"Sunshine North",9886,31,4,0,710,10636,
"Sunshine West",15559,60,5,3,1120,16746,
