Australian Bureau of Statistics

"2011 Census - Cultural and Language Diversity"
"SA2 by Indigenous Status (INGP)"
"Counting: Persons, Place of Usual Residence"

Filters:
"Default Summation","Persons, Place of Usual Residence"

"Indigenous Status (INGP)","Non-Indigenous","Aboriginal","Torres Strait Islander","Both Aboriginal and Torres Strait Islander","Not stated","Total",
"SA2",
"Miles - Wandoan",3457,103,9,11,217,3802,
"Roma",5552,591,0,8,756,6905,
"Roma Region",5472,336,4,12,342,6168,
"Tara",3663,223,8,13,233,4139,
"Crows Nest - Rosalie",7420,191,0,4,457,8070,
"Jondaryan",6488,387,6,3,461,7340,
"Millmerran",2835,96,0,0,182,3117,
"Pittsworth",4927,124,16,3,216,5292,
"Wambo",14358,783,18,5,1380,16542,
"Clifton - Greenmount",4275,80,8,0,163,4531,
"Southern Downs - East",3826,132,24,3,107,4092,
"Southern Downs - West",4092,95,5,0,202,4392,
"Stanthorpe",5061,108,11,0,198,5384,
"Stanthorpe Region",5126,122,0,4,229,5492,
"Warwick",13391,579,14,35,581,14609,
"Central Highlands - East",5775,1152,19,59,542,7550,
"Central Highlands - West",7870,198,14,9,800,8891,
"Emerald",11732,400,26,23,1044,13219,
"Agnes Water - Miriam Vale",5061,125,5,19,334,5534,
"Banana",7893,320,5,13,333,8567,
"Biloela",5347,220,7,10,302,5884,
"Boyne Island - Tannum Sands",8810,210,20,17,590,9655,
"Callemondah",52,0,0,0,0,50,
"Clinton - New Auckland",10029,348,37,56,574,11043,
"Gladstone",5274,204,14,27,794,6313,
"Gladstone Hinterland",9513,291,8,12,560,10386,
"Kin Kora - Sun Valley",3680,146,15,5,310,4151,
"South Trees",0,0,0,0,0,0,
"Telina - Toolooa",4947,176,16,14,393,5550,
"West Gladstone",4456,226,27,40,456,5200,
"Berserker",6006,519,45,39,643,7244,
"Bouldercombe",1648,81,3,3,149,1878,
"Emu Park",4006,136,12,11,383,4542,
"Frenchville - Mount Archer",8292,379,44,27,503,9244,
"Glenlee - Rockyview",4119,156,32,8,172,4490,
"Gracemere",7795,489,26,32,523,8868,
"Lakes Creek",4244,469,19,39,285,5059,
"Mount Morgan",2400,330,4,6,271,3013,
"Norman Gardens",7885,370,29,32,517,8833,
"Park Avenue",4660,346,28,32,300,5368,
"Parkhurst - Kawana",5586,340,51,24,491,6490,
"Rockhampton - West",5374,285,26,36,438,6162,
"Rockhampton City",2988,254,22,18,354,3637,
"Rockhampton Region - East",2833,93,0,0,201,3127,
"Rockhampton Region - North",3648,58,4,3,309,4023,
"Rockhampton Region - West",2454,63,3,3,168,2688,
"Shoalwater Bay",10,0,0,0,0,9,
"The Range - Allenstown",7328,315,28,24,601,8284,
"Yeppoon",14897,474,78,43,878,16372,
"Broadbeach Waters",6792,33,0,8,708,7534,
"Burleigh Heads",7229,78,4,3,721,8026,
"Burleigh Waters",13235,98,14,8,515,13869,
"Mermaid Beach - Broadbeach",9095,93,0,3,1144,10335,
"Mermaid Waters",10896,71,8,8,814,11790,
"Miami",5496,89,8,3,766,6363,
"Coolangatta",4499,102,3,0,591,5193,
"Currumbin - Tugun",9455,203,26,17,721,10420,
"Currumbin Waters",8325,157,19,21,363,8881,
"Elanora",11049,161,17,11,416,11644,
"Palm Beach",12951,219,23,26,735,13957,
"Arundel",8897,86,10,0,586,9574,
"Biggera Waters",5860,67,7,3,407,6338,
"Coombabah",9172,143,6,7,440,9776,
